10090A00948
10114A01932
1015A03033
1015A03037
10160A03317
10160A03344
10198A03597
10215A03805
10215A03812
1022A02129
10237A02647
10237A02652
10470A01772
10471A03052
10494A02044
10494A02130
10582A02356
10596A04263
10669A02757
10697A01245
10700A13471
1081A00492
1081A00493
10870A02481
10870A02524
10893A06858
10932A03112
10948A02430
10948A02431
10948A02437
1096A00277
1096A00279
10970A00391
10972A01200
10978A00480
11005A01469
11005A01480
11026A00527
11066A05584
11078A02009
11087A01751
11090A02946
11109A00348
11138A01726
11175A01064
11175A01065
11177A01460
11222A01196
11225A01644
11242A02120
11253A01736
11286A01061
11313A04632
11339A00914
11490A01404
11497A00223
11516A01329
11548A02181
11565A01176
11632A06576
11828A00739
11833A02333
11833A02334
11834A01895
11890A00334
11974A11281
12189A01563
12270A00295
1227A00361
12343A03222
12423A01305
1244A02229
1244A02231
12493A04922
12513A03454
12513A03462
12513A03476
12590A01467
12598A01475
12634A00654
12653A00464
12658A00856
12703A00124
12710A01046
12786A01293
12917A00619
13054A00929
13072A00637
13093A00815
13115A00521
13135A01104
13324A00450
13325A04658
13329A00475
13338A05176
13341A02723
13343A01667
13343A01686
13343A01695
13397A01089
13474A00672
13475A01205
13611A11415
13617A00212
13711A01355
13745A01270
13763A02564
13763A02581
13763A02585
13777A01923
13813A03267
13813A03283
1390A02077
1392A01662
13962A00389
13962A00394
13977A02762
14020A01344
14084A01976
14136A05408
14136A05418
14182A01377
14328A00055
14328A00060
14344A00219
14539A00147
14580A00311
14692A04982
14693A01664
14794A00436
1484A00181
14882A02822
14926A00239
15018A00824
15069A00433
15143A00753
15143A00755
15158A00886
15286A02584
15348A06376
15514A02316
15555A00154
15562A04829
15565A05001
15566A01955
15571A01334
15571A01343
15572A05073
15575A02069
15592A04119
15636A01391
15637A01375
15639A02783
15657A03203
15669A05821
15669A05825
15669A05852
15670A06833
15676A02919
15676A02931
15677A01340
15680A02050
15697A02593
15701A02480
15710A03544
15710A03545
15762A00718
15789A00134
15809A00253
15887A01346
15891A01767
15947A01629
1610A00387
16188A04012
16188A04123
16284A00089
16305A02110
16331A00326
16331A00327
16427A01046
16473A03056
1652A01034
1652A01036
1652A01037
1677A03119
1677A03245
16801A01270
16990A05005
17140A02199
17140A02210
17183A00445
17190A01908
17190A02007
17190A02008
17254A04692
1726A12607
17282A02586
17287A01620
17338A03083
17338A03097
17361A10965
17368A00434
17374A01555
1742A01197
1742A01385
1743A01779
17459A01624
17460A06229
17460A06251
17501A04234
1756A02899
17693A00355
17712A04984
17712A04989
17712A05010
17712A05021
17728A02071
17728A02081
17905A01772
17947A00123
18024A02507
18066A02925
18144A00915
18191LA00317
18249A03985
18335A00083
18406A03081
18475A02449
18560A07488
18583A00682
18726A02375
18745A02315
1874A00323
1889A00188
18904A00286
1892A00467
19005A00314
1909A00038
19207A04981
19227A00047
19355A16553
19355A16554
19355A16651
19358A10471
19358A10537
19361A07076
19375A01655
19375A01659
19375A01669
19524A11642
19536A05336
19546A09212
19552A07742
19552A07763
19559A07438
19569A01971
19578A06750
19580A04883
19611A09682
19617A04755
19621A06477
19626A05745
19642A07568
19715A00091
19744A02738
19763A04394
19763A04418
19844A01716
20160A01034
2016A00994
20328A05836
20406A04585
20406A04688
20441A02044
20461A00347
20520A04232
20520A04237
20521A01513
20536A00738
20610A01842
20610A01896
20733A00119
20737A01121
20750A00887
20779A01994
20792A00385
20803A00604
20815A01024
20823A00797
20824A02371
20843A00882
20850A01133
20858A00285
20860A00291
20865A01362
20920A12367
20924A45018
20925A08913
20931A35219
20933A22477
20933A22503
20934A17303
20937A26155
20937A26337
20940A25968
20956A08002
20959A18491
20962A09683
21036A00513
21094A00210
21130A00775
21131A01016
21160A02570
21160A02572
21161A00729
21161A00730
21162A00511
21189A01323
21358A00492
21360A02580
21361A00957
21374A02333
21374A02966
21374A03050
21374A03078
21377A04629
21614A00993
21614A01003
21663A00683
21668A09640
21676A00715
21676A00718
21751A00984
21759A01298
21770A01405
2178A00682
21819A15376
21827A00257
21852A00350
2185A00282
21939A02036
21951A00565
21961A00690
22017A01331
2205A01126
22079A00501
22082A01944
22144A08238
22165A00138
22221A07393
22223A05553
22223A05574
22252A01352
22269A00285
22270A00133
22274A01251
22298A00089
222A00313
22310A00821
22364A00449
22402A00283
2243A03520
2243A03524
2243A03570
22455A00291
22610A02757
22632A02174
2266A06556
2266A06569
22723A02412
22723A02413
22917A03742
22917A03756
23033A05434
23037A01809
23095A02122
2309A00405
23101A02754
23102A07221
23182A03310
23197A01299
23199A01932
23269A04735
23401A01142
23411A01946
23480A01116
23480A01127
23492A00805
23560A03481
23572A05392
23572A05395
23592A00915
23626A06521
23865A00974
2389A03568
2389A03593
23968A02096
24025A01239
24025A01326
24061A02251
24128A05411
2418A01395
2419A02192
24206A03595
24206A03647
24206A03660
24220A01273
24220A01281
2428A00540
24290A00634
24321A00868
24413A01189
24415A02272
24416A01915
24437A00389
24445A03574
24445A03587
24480A01872
24480A01889
24500A01089
24502A01625
24502A01626
24518A00836
24537A07074
24579A04480
24586A03307
24639A01945
24642A02955
24688A01876
24698A00576
2473A00066
24900A01111
24949A00216
24964A10155
25000A01134
25009A00505
25111A05417
25119A02227
25148A02697
25176A00566
25215A00731
25219A00534
25290A02886
25413A00138
25420A01949
25457A02041
25488A01652
25523A00493
25594A03082
25594A03097
25594A03114
25608A05320
25608A05329
25608A05361
2561A08987
2563A03068
2564A05920
2566A04967
2566A05001
2567A05952
